millis,aX,aY,aZ,gX,gY,gZ
7783,-0.191,0.215,0.940,0.610,2.869,2.930
7792,-0.192,0.213,0.941,0.793,2.930,3.113
7801,-0.190,0.213,0.940,0.732,2.747,3.113
7809,-0.187,0.214,0.942,0.610,2.747,2.991
7818,-0.187,0.214,0.942,0.427,2.808,2.930
7827,-0.187,0.216,0.939,0.366,2.747,3.113
7836,-0.187,0.216,0.938,0.549,2.747,3.174
7844,-0.187,0.217,0.938,0.977,2.380,3.235
7853,-0.188,0.216,0.940,1.404,2.319,3.235
12238,-0.471,1.914,0.919,13.184,15.076,47.852
12247,-0.615,2.510,0.502,-14.771,7.019,30.457
12255,-0.640,2.500,0.494,-5.432,-5.005,7.202
12264,-0.390,2.299,0.905,8.301,-7.751,-24.658
12273,-0.543,2.189,0.497,2.991,-23.193,-31.738
12281,-0.508,2.072,0.612,29.907,-40.588,-65.491
12290,-0.339,1.618,0.727,47.913,-39.063,-95.154
12299,-0.406,1.400,0.636,31.128,-29.785,-105.835
12308,-0.418,0.936,0.650,8.667,-11.414,-108.887
12317,-0.325,0.111,0.888,-15.442,17.395,-103.577
12325,-0.178,-0.263,1.233,-50.781,48.523,-92.285
12334,-0.147,-0.938,1.238,-30.334,37.476,-91.858
12343,-0.084,-1.310,1.210,0.977,-0.061,-77.759
12352,0.075,-1.416,1.304,1.953,-1.343,-67.383
12361,0.033,-1.391,1.224,5.676,-8.789,-49.377
12369,0.080,-1.372,1.266,8.667,-9.155,-27.222
12378,-0.010,-1.136,1.195,9.766,-10.193,-9.338
12387,-0.139,-0.592,1.065,10.803,-12.878,5.798
12396,-0.182,-0.437,1.010,14.099,-11.353,6.714
12404,-0.210,-0.224,0.974,15.747,-4.150,14.526
12413,-0.101,-0.108,1.071,3.174,10.986,33.875
12422,-0.212,0.127,0.958,-8.911,16.479,49.255
12430,-0.243,0.273,0.924,-3.235,9.216,43.396
12439,-0.296,0.499,0.882,0.916,6.531,33.508
12448,-0.290,0.464,0.917,2.808,5.737,22.766
12457,-0.216,0.400,0.909,-1.099,7.690,14.893
12466,-0.261,0.496,0.862,-1.221,7.385,13.123
12475,-0.189,0.266,0.996,3.967,7.080,5.371
12483,-0.176,0.211,0.956,-1.160,8.728,2.625
12492,-0.174,0.197,0.957,-1.831,5.798,0.122
12501,-0.167,0.180,0.974,-1.709,5.432,-3.113
12509,-0.172,0.162,0.965,-3.418,5.188,-4.395
12518,-0.160,0.131,0.970,-2.808,3.784,-3.967
12527,-0.149,0.075,0.975,-2.075,2.869,-3.418
12536,-0.157,0.088,0.976,-2.075,3.906,-2.625
12545,-0.166,0.100,0.972,-1.282,3.906,-0.854
12554,-0.160,0.160,0.976,-0.488,3.601,1.465
12562,-0.169,0.129,0.968,1.038,2.502,2.625
12571,-0.156,0.125,0.970,0.916,2.808,2.319
12580,-0.164,0.126,0.967,1.709,2.441,2.991
12589,-0.176,0.145,0.964,2.014,2.380,4.456
12597,-0.176,0.145,0.963,2.625,2.502,5.493
12606,-0.182,0.155,0.963,2.991,2.502,6.104
12615,-0.188,0.160,0.963,2.258,2.563,5.981
12623,-0.185,0.169,0.962,0.854,3.418,5.615
12632,-0.180,0.162,0.966,-0.671,4.211,4.456
12641,-0.183,0.158,0.967,-1.709,4.700,3.479
12650,-0.179,0.164,0.960,-2.502,4.395,3.357
12659,-0.171,0.167,0.960,-2.563,3.967,2.747
12667,-0.167,0.156,0.964,-1.953,3.357,1.892
12676,-0.163,0.148,0.966,-1.831,2.991,1.465
12685,-0.163,0.144,0.964,-1.709,2.380,1.709
12694,-0.162,0.137,0.969,-0.977,1.709,2.136
12703,-0.164,0.140,0.966,-0.427,1.343,3.052
12711,-0.166,0.149,0.963,-0.061,0.916,3.723
12720,-0.175,0.143,0.962,0.549,0.549,4.578
12729,-0.174,0.144,0.967,0.793,1.038,4.456
12737,-0.173,0.146,0.964,0.793,1.465,3.845
12746,-0.169,0.148,0.965,0.549,1.770,3.540
12755,-0.171,0.151,0.966,-0.122,2.136,3.662
12764,-0.178,0.152,0.960,-1.160,2.930,3.967
12773,-0.177,0.149,0.959,-0.916,2.991,3.906
12781,-0.177,0.148,0.964,-0.671,3.357,3.784
12790,-0.174,0.149,0.964,-0.549,3.601,3.540
12799,-0.174,0.150,0.962,-0.244,3.540,3.418
12808,-0.171,0.151,0.969,-0.061,3.235,3.479
12817,-0.171,0.154,0.965,0.305,2.747,3.357
12825,-0.172,0.153,0.962,-0.122,2.869,3.662
12834,-0.172,0.151,0.964,-0.244,2.808,3.906
12843,-0.173,0.151,0.964,0.061,2.563,3.723
12851,-0.173,0.151,0.963,0.061,2.808,3.662
12860,-0.172,0.151,0.961,0.366,2.747,3.601
12869,-0.172,0.150,0.961,0.671,2.808,3.723
12878,-0.172,0.149,0.968,0.610,2.991,3.601
12887,-0.173,0.146,0.973,0.183,3.235,3.601
12895,-0.171,0.148,0.966,-0.854,3.418,3.479
12904,-0.167,0.149,0.964,-1.282,3.540,3.418
12913,-0.170,0.151,0.966,-1.282,3.296,3.174
12922,-0.172,0.153,0.961,-1.404,3.601,3.174
12931,-0.174,0.153,0.961,-0.977,3.540,3.296
